Country,Field,Role,SignRole,CommentRole
CANADA,PLACID,Regional Reserves Coordinator,,
CANADA,PLACID,Corporate Reserves Coordinator,,
CANADA,PLACID,Corporate Reserves General Manager,,
CANADA,PLACID,"Manager, Subsurface Engineering",,
CANADA,PLACID,Asset General Manager,,
CANADA,PLACID,Vice President,,
CANADA,PLACID,Vice President & Country Manager,,
CANADA,KAYBOB,Regional Reserves Coordinator,,
CANADA,KAYBOB,Corporate Reserves Coordinator,,
CANADA,KAYBOB,Corporate Reserves General Manager,,
CANADA,KAYBOB,"Manager, Subsurface Engineering",,
CANADA,KAYBOB,Asset General Manager,,
CANADA,KAYBOB,Vice President,,
CANADA,KAYBOB,Vice President & Country Manager,,
CANADA,TUPPER,Regional Reserves Coordinator,,
CANADA,TUPPER,Corporate Reserves Coordinator,,
CANADA,TUPPER,Corporate Reserves General Manager,,
CANADA,TUPPER,"Manager, Subsurface Engineering",,
CANADA,TUPPER,Asset General Manager,,
CANADA,TUPPER,Vice President,,
CANADA,TUPPER,Vice President & Country Manager,,
CANADA,TUPPER WEST,Regional Reserves Coordinator,,
CANADA,TUPPER WEST,Corporate Reserves Coordinator,,
CANADA,TUPPER WEST,Corporate Reserves General Manager,,
CANADA,TUPPER WEST,"Manager, Subsurface Engineering",,
CANADA,TUPPER WEST,Asset General Manager,,
CANADA,TUPPER WEST,Vice President,,
CANADA,TUPPER WEST,Vice President & Country Manager,,
CANADA,HIBERNIA,Regional Reserves Coordinator,,
CANADA,HIBERNIA,Corporate Reserves Coordinator,,
CANADA,HIBERNIA,Corporate Reserves General Manager,,
CANADA,HIBERNIA,Sr. Manager - Subsurface,,
CANADA,HIBERNIA,General Manager - Subsurface Assets,,
CANADA,HIBERNIA,Vice President - Western Hemisphere,,
CANADA,TERRA NOVA,Regional Reserves Coordinator,,
CANADA,TERRA NOVA,Corporate Reserves Coordinator,,
CANADA,TERRA NOVA,Corporate Reserves General Manager,,
CANADA,TERRA NOVA,Sr. Manager - Subsurface,,
CANADA,TERRA NOVA,General Manager - Subsurface Assets,,
CANADA,TERRA NOVA,Vice President - Western Hemisphere,,
MALAYSIA,BLOCK H OTHER,Regional Reserves Coordinator/ Subsurface General Manager,,
MALAYSIA,BLOCK H OTHER,Corporate Reserves Coordinator,,
MALAYSIA,BLOCK H OTHER,Corporate Reserves General Manager,,
MALAYSIA,BLOCK H OTHER,Asset General Manager,,
MALAYSIA,BLOCK H OTHER,Country Manager,,
MALAYSIA,KAKAP,Regional Reserves Coordinator/ Subsurface General Manager,,
MALAYSIA,KAKAP,Corporate Reserves Coordinator,,
MALAYSIA,KAKAP,Corporate Reserves General Manager,,
MALAYSIA,KAKAP,Asset General Manager,,
MALAYSIA,KAKAP,Country Manager,,
MALAYSIA,KIKEH,Regional Reserves Coordinator/ Subsurface General Manager,,
MALAYSIA,KIKEH,Corporate Reserves Coordinator,,
MALAYSIA,KIKEH,Corporate Reserves General Manager,,
MALAYSIA,KIKEH,Asset General Manager,,
MALAYSIA,KIKEH,Country Manager,,
MALAYSIA,ROTAN,Regional Reserves Coordinator/ Subsurface General Manager,,
MALAYSIA,ROTAN,Corporate Reserves Coordinator,,
MALAYSIA,ROTAN,Corporate Reserves General Manager,,
MALAYSIA,ROTAN,Asset General Manager,,
MALAYSIA,ROTAN,Country Manager,,
MALAYSIA,SIAKAP NORTH,Regional Reserves Coordinator/ Subsurface General Manager,,
MALAYSIA,SIAKAP NORTH,Corporate Reserves Coordinator,,
MALAYSIA,SIAKAP NORTH,Corporate Reserves General Manager,,
MALAYSIA,SIAKAP NORTH,Asset General Manager,,
MALAYSIA,SIAKAP NORTH,Country Manager,,
MALAYSIA,JAGUS EAST,Regional Reserves Coordinator/ Subsurface General Manager,,
MALAYSIA,JAGUS EAST,Corporate Reserves Coordinator,,
MALAYSIA,JAGUS EAST,Corporate Reserves General Manager,,
MALAYSIA,JAGUS EAST,Asset General Manager,,
MALAYSIA,JAGUS EAST,Country Manager,,
MALAYSIA,BELUM,Regional Reserves Coordinator/ Subsurface General Manager,,
MALAYSIA,BELUM,Corporate Reserves Coordinator,,
MALAYSIA,BELUM,Corporate Reserves General Manager,,
MALAYSIA,BELUM,Asset General Manager,,
MALAYSIA,BELUM,Country Manager,,
MALAYSIA,GOLOK,Regional Reserves Coordinator/ Subsurface General Manager,,
MALAYSIA,GOLOK,Corporate Reserves Coordinator,,
MALAYSIA,GOLOK,Corporate Reserves General Manager,,
MALAYSIA,GOLOK,Asset General Manager,,
MALAYSIA,GOLOK,Country Manager,,
MALAYSIA,MERAPUH,Regional Reserves Coordinator/ Subsurface General Manager,,
MALAYSIA,MERAPUH,Corporate Reserves Coordinator,,
MALAYSIA,MERAPUH,Corporate Reserves General Manager,,
MALAYSIA,MERAPUH,Asset General Manager,,
MALAYSIA,MERAPUH,Country Manager,,
MALAYSIA,PATRICIA,Regional Reserves Coordinator/ Subsurface General Manager,,
MALAYSIA,PATRICIA,Corporate Reserves Coordinator,,
MALAYSIA,PATRICIA,Corporate Reserves General Manager,,
MALAYSIA,PATRICIA,Asset General Manager,,
MALAYSIA,PATRICIA,Country Manager,,
MALAYSIA,PEMANIS,Regional Reserves Coordinator/ Subsurface General Manager,,
MALAYSIA,PEMANIS,Corporate Reserves Coordinator,,
MALAYSIA,PEMANIS,Corporate Reserves General Manager,,
MALAYSIA,PEMANIS,Asset General Manager,,
MALAYSIA,PEMANIS,Country Manager,,
MALAYSIA,PERMAS,Regional Reserves Coordinator/ Subsurface General Manager,,
MALAYSIA,PERMAS,Corporate Reserves Coordinator,,
MALAYSIA,PERMAS,Corporate Reserves General Manager,,
MALAYSIA,PERMAS,Asset General Manager,,
MALAYSIA,PERMAS,Country Manager,,
MALAYSIA,SERAMPANG,Regional Reserves Coordinator/ Subsurface General Manager,,
MALAYSIA,SERAMPANG,Corporate Reserves Coordinator,,
MALAYSIA,SERAMPANG,Corporate Reserves General Manager,,
MALAYSIA,SERAMPANG,Asset General Manager,,
MALAYSIA,SERAMPANG,Country Manager,,
MALAYSIA,SERENDAH,Regional Reserves Coordinator/ Subsurface General Manager,,
MALAYSIA,SERENDAH,Corporate Reserves Coordinator,,
MALAYSIA,SERENDAH,Corporate Reserves General Manager,,
MALAYSIA,SERENDAH,Asset General Manager,,
MALAYSIA,SERENDAH,Country Manager,,
MALAYSIA,SOUTH ACIS,Regional Reserves Coordinator/ Subsurface General Manager,,
MALAYSIA,SOUTH ACIS,Corporate Reserves Coordinator,,
MALAYSIA,SOUTH ACIS,Corporate Reserves General Manager,,
MALAYSIA,SOUTH ACIS,Asset General Manager,,
MALAYSIA,SOUTH ACIS,Country Manager,,
MALAYSIA,WEST PATRICIA,Regional Reserves Coordinator/ Subsurface General Manager,,
MALAYSIA,WEST PATRICIA,Corporate Reserves Coordinator,,
MALAYSIA,WEST PATRICIA,Corporate Reserves General Manager,,
MALAYSIA,WEST PATRICIA,Asset General Manager,,
MALAYSIA,WEST PATRICIA,Country Manager,,
UNITED STATES,CATARINA,Regional Reserves Coordinator,CAT_RRC1_SIGN,CAT_RRC1_TXT
UNITED STATES,CATARINA,Corporate Reserves Coordinator,CAT_CRC_SIGN,CAT_RRC2_TXT
UNITED STATES,CATARINA,Corporate Reserves General Manager,CAT_RRC2_SIGN,CAT_RRC3_TXT
UNITED STATES,CATARINA,Manager Reservoir Engineering,CAT_MRE_SIGN,CAT_RRC4_TXT
UNITED STATES,CATARINA,Vice President Onshore Subsurface,CAT_VPOS_SIGN,
UNITED STATES,CATARINA_NON OP,Regional Reserves Coordinator,,
UNITED STATES,CATARINA_NON OP,Corporate Reserves Coordinator,,
UNITED STATES,CATARINA_NON OP,Corporate Reserves General Manager,,
UNITED STATES,CATARINA_NON OP,Manager Reservoir Engineering,,
UNITED STATES,CATARINA_NON OP,Vice President Onshore Subsurface,,
UNITED STATES,CHAPARRAL,Regional Reserves Coordinator,,
UNITED STATES,CHAPARRAL,Corporate Reserves Coordinator,,
UNITED STATES,CHAPARRAL,Corporate Reserves General Manager,,
UNITED STATES,CHAPARRAL,Manager Reservoir Engineering,,
UNITED STATES,CHAPARRAL,Vice President Onshore Subsurface,,
